Blue Ridge Optics, Hamilton College, June 2026						
LiF on 3-inch Fused Silica wafer. WA0904 Labeled Sample						Map 3, July 29, 2026
Used RC2XF Small Spot Ellipsometer with focused beam						Sample Rotated Clockwise 90 degrees						
Mapping Results						
X (cm)	Y (cm)	LiF Film Thickness, nm	LiF Grading, %	Roughness, nm	Interlayer Thickness # 1, nm	Interlayer EMA Void, %
-1.8	1	498.7	4.0	30.0	91.6	19.3
-2	1	498.2	4.3	30.0	92.1	19.0
-2.2	1	498.0	3.9	30.0	91.9	18.7
-2.4	1	497.9	4.0	30.1	91.6	18.6
-2.6	1	497.8	4.0	29.7	91.4	18.4
-2.8	1	497.8	3.8	29.8	90.9	18.2
-3	1	497.9	3.9	29.7	90.7	17.9
-3.2	1	497.6	3.6	29.4	90.1	17.5
-3.4	1	497.1	3.7	29.2	89.9	17.2
-3.4	0.8	497.4	3.9	29.4	90.3	17.3
-3.2	0.8	497.2	3.9	29.5	90.7	17.9
-3	0.8	497.7	4.0	29.6	91.0	18.2
-2.8	0.8	497.9	4.1	29.8	91.2	18.4
-2.6	0.8	497.8	3.9	29.8	91.3	18.5
-2.4	0.8	497.8	3.9	29.8	91.7	18.7
-2.2	0.8	497.9	4.1	29.9	92.0	18.9
-2	0.8	498.3	4.0	30.1	92.0	19.1
-1.8	0.8	498.5	4.1	30.1	92.3	19.2
-1.6	0.8	498.5	4.1	29.9	92.6	19.3
-1.4	0.8	499.1	4.3	30.2	92.5	19.5
-1.2	0.8	498.6	4.2	30.0	93.3	19.6
-1	0.8	498.5	4.2	30.1	93.5	19.7
-0.8	0.8	499.2	4.2	30.1	92.8	20.0
-0.6	0.8	499.0	4.3	30.2	93.0	20.3
-0.4	0.8	499.0	4.1	30.1	93.3	20.4
-0.2	0.8	499.2	4.2	30.2	93.5	20.4
0	0.8	499.7	4.2	30.2	93.5	20.7
0.2	0.8	499.6	4.3	30.0	93.5	20.9
0.4	0.8	499.2	4.3	30.1	93.9	21.1
0.6	0.8	499.3	4.3	30.1	93.9	21.3
0.8	0.8	499.6	4.3	30.1	94.3	21.4
1	0.8	499.5	4.4	30.2	94.5	21.6
1.2	0.8	499.4	4.3	30.0	94.8	21.7
1.4	0.8	499.9	4.4	30.0	94.6	21.8
1.6	0.8	500.0	4.3	30.2	94.3	22.0
1.8	0.8	499.9	4.3	30.0	94.4	22.1
2	0.8	499.7	4.2	30.3	94.7	22.3
2.2	0.8	499.8	4.3	30.2	95.2	22.3
2.4	0.8	499.5	4.4	30.0	95.3	22.6
2.6	0.8	499.9	4.6	30.0	94.8	22.8
2.8	0.8	499.0	4.6	30.2	96.0	22.8
3	0.8	499.0	4.8	30.0	95.9	22.5
3.2	0.8	497.9	4.5	29.7	95.2	23.0
3.4	0.6	495.4	4.5	28.8	96.9	22.7
3.2	0.6	497.4	4.6	29.4	96.2	22.8
3	0.6	494.8	5.1	29.0	100.2	22.5
2.8	0.6	499.2	4.4	29.9	95.4	22.8
2.6	0.6	499.8	4.5	30.2	95.0	23.0
2.4	0.6	499.1	4.5	30.0	95.6	22.6
2.2	0.6	499.6	4.3	30.0	95.2	22.5
2	0.6	499.7	4.2	30.1	95.0	22.1
1.8	0.6	499.9	4.1	30.3	94.8	22.3
1.6	0.6	499.9	4.1	30.2	94.3	22.0
1.4	0.6	499.7	4.2	30.1	94.5	21.8
1.2	0.6	499.9	4.2	30.1	94.3	21.6
1	0.6	500.0	4.2	30.1	94.1	21.6
0.8	0.6	499.8	4.4	29.8	94.1	21.4
0.6	0.6	499.5	4.3	30.0	93.9	21.4
0.4	0.6	499.6	4.1	30.1	93.3	21.1
0.2	0.6	499.1	4.2	30.0	93.9	20.8
0	0.6	499.8	4.2	29.9	93.5	20.7
-0.2	0.6	499.2	4.1	30.1	93.7	20.4
-0.4	0.6	499.1	4.0	30.0	93.3	20.2
-0.6	0.6	499.0	4.1	30.1	93.1	20.0
-0.8	0.6	498.8	4.0	30.0	93.2	19.9
-1	0.6	499.1	4.0	30.0	92.7	19.8
-1.2	0.6	498.9	4.0	29.7	92.7	19.7
-1.4	0.6	499.0	4.2	30.0	92.6	19.5
-1.6	0.6	498.9	3.9	30.1	92.3	19.3
-1.8	0.6	498.8	3.8	29.9	92.1	19.1
-2	0.6	498.3	3.7	29.9	92.0	19.0
-2.2	0.6	498.9	4.2	29.8	91.1	19.1
