Blue Ridge Optics, November 2025				
Serial 001: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X(cm)	Y(cm)	LiF_Thickness,nm	LiF_n@632.8nm	Roughness,nm
1.6	-0.2	559.61	1.376	11.39
1.4	-0.2	559.40	1.376	11.49
1.2	-0.2	559.75	1.376	11.79
1	-0.2	559.98	1.377	12.64
0.8	-0.2	561.06	1.377	13.50
0.6	-0.2	561.53	1.377	13.04
0.4	-0.2	560.98	1.376	11.58
0.2	-0.2	561.08	1.376	11.56
0	-0.2	560.83	1.377	11.87
-0.2	-0.2	561.69	1.376	11.82
-0.4	-0.2	561.70	1.376	11.93
-0.6	-0.2	561.37	1.376	12.05
-0.8	-0.2	561.52	1.376	12.22
-1	-0.2	561.62	1.376	12.41
-1.2	-0.2	562.16	1.376	12.57
-1.4	-0.2	562.22	1.376	12.45
-1.6	-0.2	561.59	1.377	12.47
-1.8	-0.2	562.20	1.376	12.51
-2	-0.2	562.03	1.377	12.27
-2.2	-0.2	562.75	1.377	12.24
-2.4	-0.2	562.97	1.377	12.53
-2.6	-0.2	561.89	1.377	12.85
-2.8	-0.2	561.81	1.377	13.26
-3	-0.2	560.97	1.379	12.52
-3.2	-0.2	561.23	1.379	11.88
-3.4	-0.2	560.14	1.382	11.29
-3.4	-0.4	559.04	1.384	11.06
-3.2	-0.4	561.18	1.379	11.80
-3	-0.4	562.55	1.378	13.61
-2.8	-0.4	561.22	1.378	12.40
-2.6	-0.4	560.95	1.378	12.37
-2.4	-0.4	561.69	1.378	12.27
-2.2	-0.4	562.21	1.378	12.30
-2	-0.4	562.58	1.377	12.28
-1.8	-0.4	561.68	1.376	12.38
-1.6	-0.4	562.11	1.376	12.60
-1.4	-0.4	562.17	1.376	12.76
-1.2	-0.4	562.26	1.376	12.44
-1	-0.4	562.04	1.376	12.23
-0.8	-0.4	561.19	1.376	12.00
-0.6	-0.4	561.13	1.376	11.81
-0.4	-0.4	561.58	1.376	11.66
-0.2	-0.4	561.66	1.376	12.00
0	-0.4	561.03	1.377	11.71
0.2	-0.4	560.02	1.378	11.75
0.4	-0.4	560.66	1.377	11.42
0.6	-0.4	559.89	1.377	11.69
0.8	-0.4	560.21	1.377	12.67
1	-0.4	559.53	1.377	11.44
1.2	-0.4	559.59	1.377	12.48
1.4	-0.4	559.87	1.376	11.49
1.6	-0.4	560.37	1.376	11.65
1.8	-0.4	560.13	1.375	10.97
2	-0.4	560.17	1.375	11.21
2.2	-0.4	560.26	1.375	11.72
2.4	-0.4	560.06	1.375	12.02
2.6	-0.4	559.76	1.375	11.28
2.8	-0.4	560.38	1.375	12.55
3	-0.4	558.97	1.376	10.80
3.2	-0.4	558.91	1.375	10.37
3.4	-0.4	558.77	1.376	10.39
3.4	-0.6	558.21	1.376	10.23
3.2	-0.6	558.54	1.376	11.04
3	-0.6	558.90	1.376	11.22
2.8	-0.6	559.66	1.375	10.73
2.6	-0.6	559.97	1.375	10.88
2.4	-0.6	560.23	1.375	11.16
2.2	-0.6	560.27	1.375	11.02
2	-0.6	560.07	1.376	11.03
1.8	-0.6	560.27	1.376	12.85
1.6	-0.6	560.21	1.376	11.59
1.4	-0.6	560.63	1.376	12.36
